,Lat,Long,Insolation
2426,55.704475,-5.7429283,1012.4307
2427,51.440816,-0.77935043,1145.7805
2428,55.396361,-3.1867094,940.2881
2429,53.0654,-1.9277918,1073.6182
2430,52.605769,-3.5528835,1062.0666
2431,54.763937,-6.8999664,1012.7411
2432,52.650556,1.6196772,1128.9195
2433,56.798702,-5.1960043,906.2026
2434,53.783315,-2.533631,1045.2871
2435,54.737282,-7.5188386,1019.6461
2436,58.345809,-4.3091883,937.1618
2437,57.288546,-2.2515488,997.319
2438,54.413413,-1.7713693,1032.3137
2439,51.050953,0.92258768,1198.2378
2440,50.332333,-4.8827435,1153.3679
2441,51.445394,-1.3548045,1137.3891
2442,51.972616,-0.18261581,1151.5365
2443,53.603585,-1.473519,1057.9324
2444,53.245175,-2.0773448,1060.5275
2445,56.520886,-5.4978268,904.004
2446,57.448728,-7.254368,988.7422
2447,52.785565,-0.44550015,1139.8878
2448,50.444658,-3.7627238,1146.242
2449,55.8196,-4.7958563,1001.5827
2450,54.590355,-2.8536386,1046.0353
2451,54.229784,-1.0053792,1066.4829
2452,57.53167,-4.5915774,924.5148
2453,51.792808,-3.8148087,1143.9054
2454,54.865657,-6.6003556,1014.2207
